model,accuracy,f1,auc,mcc,cost,score
RandomForest,0.9913793274486579,0.974322910818653,0.9995556043427244,0.9691647866865596,34935,0.9757587626310018
ExtraTrees,0.9623408548453338,0.8789531079607416,0.9893737831322417,0.8612218122443367,175730,0.8886253359935582
GradientBoosting,0.9685350411986802,0.907921246218785,0.9912698364663199,0.8890441749125195,113750,0.9113770143539061
AdaBoost,0.9633586695792438,0.8893057936441339,0.9896745838187124,0.8676083312461954,146805,0.8941913280004927
DecisionTree,0.9801377323563899,0.9429159562760516,0.9862225647819651,0.9315100889598152,62040,0.9435931708558688
KNN,0.9908218109959704,0.9729698145399727,0.9927936486918975,0.9674657880348935,32230,0.9730817628168021
LogisticRegression,0.8868162239271776,0.6449320013693088,0.9361862539809636,0.5793197521896839,451580,0.6572542774659023
XGBoost,0.982711037833741,0.9488530979268894,0.9968239932859294,0.9384515457198029,64815,0.9511661904537368
