model,accuracy,f1,auc,mcc,cost,score
RandomForest,0.8720921858120274,0.8612066270709596,0.9590188741889911,0.7513904706474385,10875,0.803897766998101
ExtraTrees,0.8391069499459849,0.8400858983536149,0.9146656206561807,0.71950920640389,11375,0.7705981584493207
GradientBoosting,0.8369463449765935,0.8372627947096032,0.9302027655992177,0.7128482790377499,11745,0.7687606279172288
AdaBoost,0.8312567518905294,0.8309401832744066,0.908357561260529,0.6992277519948461,12470,0.7542249569759387
DecisionTree,0.8425639178970111,0.8426658989491868,0.9354021618078131,0.7236590906025827,11205,0.7779083856782891
KNN,0.8499819949585884,0.840566398775354,0.9349819109554082,0.7128180131825387,12505,0.7700256312963941
LogisticRegression,0.7708318329132157,0.7784431137724551,0.84468901076219,0.5947695676631527,17505,0.6631208108938904
XGBoost,0.84537270435722,0.8458611529901644,0.9420287113667962,0.7307484553252761,10825,0.784515776300069
