model,accuracy,f1,auc,mcc,cost,score
RandomForest,0.8555943678202312,0.8516463189049205,0.9582311820797079,0.7369968229279268,21585,0.7927086443559823
ExtraTrees,0.8372645756058915,0.8371120643045092,0.9161625229628123,0.7120140660830353,23620,0.7653535572811381
GradientBoosting,0.8306384817602362,0.8317171789458618,0.9288501983058425,0.7023321921650311,24490,0.7605742920712765
AdaBoost,0.8191508516691275,0.8184775536759922,0.9037572462882426,0.6735807524916742,27585,0.7341057313694196
DecisionTree,0.8376967121610429,0.8383139013452915,0.934308961622958,0.715400988504761,23200,0.7714738744124534
KNN,0.8471677049947783,0.839327629287499,0.9345661938213727,0.7108277414062898,24880,0.7684254206774273
LogisticRegression,0.7675465447081278,0.7763417760992343,0.8441477166966755,0.590894825091761,35345,0.6600900985134912
XGBoost,0.839893406316396,0.8407593123209169,0.9408219236494284,0.7207723673889193,22630,0.7767809731342209
