model,accuracy,f1,auc,mcc,cost,score
RandomForest,0.8581134612152787,0.8525596247879453,0.9555998166101503,0.7373843674980826,32740,0.7925449830494824
ExtraTrees,0.8334093582695123,0.8349546892467236,0.9179066855007902,0.7096291626350956,35560,0.7638172198693973
GradientBoosting,0.8334573740186781,0.8339198927434222,0.9304906503714244,0.7061798376942714,36230,0.763816005734617
AdaBoost,0.819964948503109,0.8195316824296681,0.8997201253501926,0.6759067804975227,40985,0.7350319396612712
DecisionTree,0.8383309725589994,0.8388301182327318,0.9332864166076038,0.7163227912514474,34675,0.7719662490208071
KNN,0.8459654766763498,0.8382249117498739,0.9288727265482389,0.7087540061091402,37595,0.7657248407610333
LogisticRegression,0.7729815379444458,0.781161768109234,0.8493138536436766,0.6010349781316566,51520,0.6687034322318184
XGBoost,0.8403716418985427,0.840517137991413,0.9408309366274659,0.719342262362176,34265,0.7757574847781576
