model,accuracy,f1,auc,mcc,cost,score
RandomForest,0.9933614008912309,0.9801497371886903,0.9996153085967437,0.9762273119259148,14540,0.9812971537863581
ExtraTrees,0.9649420064997163,0.8992553907203211,0.9910429209725138,0.8786311350653615,59715,0.903175917812288
GradientBoosting,0.9751915590986108,0.924458084628211,0.9917312863373621,0.9101409266778095,52680,0.9278907144047602
AdaBoost,0.9628825725861173,0.8863647407551387,0.9899717427262718,0.8649087277321296,77060,0.8920669320332589
DecisionTree,0.9851633460444187,0.9570402711552823,0.9951249463415419,0.9484293205548899,23150,0.9586295407722596
KNN,0.9924884231243875,0.9776803084432811,0.9914002609111661,0.9731715810712174,14860,0.9772681897764135
LogisticRegression,0.8878898143335013,0.6444240280906653,0.9340219400027818,0.5803195301262107,225950,0.6574704618979704
XGBoost,0.9864767807754423,0.959601706970128,0.9969520404832833,0.951531305125242,27355,0.9614224923813388
