model,accuracy,f1,auc,mcc,cost,score
RandomForest,0.9935095254030589,0.9809904196673808,0.9997385334239333,0.9771674460185649,29550,0.9820639608645201
ExtraTrees,0.9661984759884185,0.9016264074680012,0.9922523808034764,0.8814237823111383,180305,0.9056097645252922
GradientBoosting,0.970084560024655,0.9117788170864425,0.9910068471129516,0.8937804037963503,166790,0.9150255337886798
AdaBoost,0.964867842720735,0.8922680056946546,0.9894932736163006,0.8720832463882009,220920,0.897583727764466
DecisionTree,0.9845905789577412,0.9557468339043828,0.9966447965665156,0.9470736389274974,67310,0.9578551899529895
KNN,0.9930624537882706,0.9796208586048933,0.9982277092043795,0.9754898226554429,33990,0.9804505035601753
LogisticRegression,0.8457166438942318,0.6515217151000385,0.9366592586303023,0.58656198645216,676100,0.6630774137525763
XGBoost,0.9843405892086435,0.952685447547948,0.9967719347321242,0.9435795616715296,101325,0.9551286248712904
