Split,Best_Model,Accuracy,F1,AUC,MCC,Cost,Score,DSI
0.2,RandomForest,0.872236,0.861558,0.958905,0.752059,10815,0.804378,0.960475
0.4,RandomForest,0.872092,0.861207,0.959019,0.75139,10875,0.803898,0.958985
0.6,RandomForest,0.858113,0.85256,0.9556,0.737384,32740,0.792545,0.924071
